COD_CONCESION,SECTOR,COD_SUMINISTRO,FECHA_ALTA_SUMINISTRO,FECHA_BAJA_SUMINISTRO,COD_TIPO_SUMINISTRO,NUM_VIVIENDAS,NUM_PERSONAS
VR,3.2.1,1000162,2009-09-03,,CONT,1.0,3.0
VR,3.2,1000163,2009-09-01,,CONT,1.0,3.0
VR,3.1,1000164,2009-08-21,,CONT,1.0,3.0
VR,2.2,1000165,2009-08-30,,CONT,1.0,3.0
VR,3.1,1000166,2009-08-17,,CONT,1.0,3.0
VR,2.2.1,1000167,2009-09-08,,CONT,1.0,3.0
VR,3.2.1,1000168,2009-09-08,,CONT,1.0,3.0
VR,0,1000169,2009-08-23,,CONT,1.0,3.0
VR,2.2,1000170,2009-08-30,,CONT,1.0,3.0
VR,3.2,1000171,2009-09-01,,CONT,1.0,3.0
VR,3,1000172,2009-08-25,,CONT,1.0,3.0
VR,3.1,1000173,2009-08-21,,CONT,1.0,3.0
VR,2.2,1000174,2009-08-30,,CONT,1.0,3.0
VR,2.2,1000175,2009-08-30,,CONT,1.0,3.0
VR,3.2,1000176,2009-08-30,,CONT,1.0,3.0
VR,,1000177,2009-09-10,2011-12-28,CONT,,
VR,,1000178,2009-09-10,2011-12-28,CONT,,
VR,2,1000179,2009-08-10,,CONT,1.0,3.0
VR,3.2.1,1000180,2009-08-23,,CONT,1.0,3.0
VR,3.2,1000181,2009-09-01,,CONT,1.0,3.0
VR,2.2,1000182,2009-09-08,,CONT,1.0,3.0
VR,2.2,1000183,2009-09-08,,CONT,1.0,3.0
VR,3.2.1,1000185,2009-09-08,,CONT,1.0,3.0
VR,0,1000186,2009-08-25,,CONT,1.0,3.0
VR,3.1,1000187,2009-08-25,,CONT,1.0,3.0
VR,3.2,1000188,2009-08-30,,CONT,1.0,3.0
VR,0,1000189,2009-08-21,,CONT,1.0,3.0
VR,2.2,1000190,2009-09-08,,CONT,1.0,3.0
VR,3.2.1,1000192,2009-09-08,,CONT,1.0,3.0
VR,2.2,1000193,2009-08-30,,CONT,1.0,3.0
VR,3.1,1000194,2009-08-23,,CONT,1.0,3.0
VR,3.2,1000195,2009-08-28,,CONT,1.0,3.0
VR,3.1,1000196,2009-08-23,,CONT,1.0,3.0
VR,0,1000197,2009-08-17,,CONT,1.0,3.0
VR,3.1,1000198,2009-08-17,,CONT,1.0,3.0
VR,3.1,1000199,2009-08-17,,CONT,1.0,3.0
VR,0,1000200,2009-08-23,,CONT,1.0,3.0
VR,3.1,1000201,2009-08-23,,CONT,1.0,3.0
VR,2.2,1000202,2009-09-10,,CONT,1.0,3.0
VR,2.2,1000203,2009-09-04,,CONT,1.0,3.0
VR,3,1000204,2009-08-25,,CONT,1.0,3.0
VR,2,1000205,2009-08-13,,CONT,1.0,3.0
VR,2.2,1000206,2009-08-30,,CONT,1.0,3.0
VR,3.2.1,1000208,2009-08-23,,CONT,1.0,3.0
VR,3.1,1000210,2009-08-23,,CONT,1.0,3.0
VR,2.1,1000211,2009-09-08,,CONT,1.0,3.0
VR,2.1,1000212,2009-09-08,,CONT,1.0,3.0
VR,2,1000213,2009-08-13,,CONT,1.0,3.0
VR,2.2,1000214,2009-08-30,,CONT,1.0,3.0
VR,0,1000215,2009-08-17,,CONT,1.0,3.0
VR,0,1000218,2009-08-17,,CONT,1.0,3.0
VR,3.2,1000219,2009-09-01,,CONT,1.0,3.0
VR,2,1000220,2009-08-13,,CONT,1.0,3.0
VR,0,1000221,2009-08-17,,CONT,1.0,3.0
VR,3.2,1000222,2009-09-01,,CONT,1.0,3.0
VR,3,1000223,2009-08-25,,CONT,1.0,3.0
VR,2,1000225,2009-08-13,,CONT,1.0,3.0
VR,3.1,1000226,2009-08-23,,CONT,1.0,3.0
VR,3.1,1000227,2009-08-23,,CONT,1.0,3.0
VR,2.2,1000228,2009-08-31,,CONT,1.0,3.0
VR,3.2,1000230,2009-09-01,,CONT,1.0,3.0
