wdir,temp,maxt,visibility,wspd,datetimeStr,solarenergy,heatindex,cloudcover,mint,datetime,precip,solarradiation,weathertype,snowdepth,sealevelpressure,snow,dew,humidity,precipcover,wgust,conditions,windchill,info,locations
261.53,8.4,10.6,11.6,34.7,2021-02-08T00:00:00+01:00,6.6,,57.5,7.2,1612742400000,5.8,166.3,"Light Drizzle, Rain, Sky Coverage Decreasing",0.0,1007.7,0.0,6.2,86.15,23.53,59.4,"Rain, Partially cloudy",3.4,,"39.2210171,-3.6185337"
240.33,9.3,11.9,12.6,31.8,2021-02-09T00:00:00+01:00,4.1,,86.7,7.6,1612828800000,5.8,102.4,"Drizzle, Mist, Light Drizzle, Rain, Light Drizzle/Rain, Heavy Rain, Light Rain, Sky Coverage Increasing",0.0,1009.0,0.0,7.4,88.02,25.0,59.8,"Rain, Overcast",4.9,,"39.2210171,-3.6185337"
258.57,10.3,14.0,12.4,32.0,2021-02-10T00:00:00+01:00,11.6,,53.4,8.0,1612915200000,1.2,294.0,"Mist, Rain, Light Rain, Sky Coverage Increasing",0.0,1010.0,0.0,6.7,79.66,8.33,48.2,"Rain, Partially cloudy",4.7,,"39.2210171,-3.6185337"
231.08,12.8,16.0,10.9,10.1,2021-02-11T00:00:00+01:00,6.7,,88.7,9.4,1613001600000,0.0,170.2,,0.0,1020.6,0.0,10.9,88.78,0.0,,Overcast,9.2,,"39.2210171,-3.6185337"
270.2,12.3,14.0,10.0,28.5,2021-02-12T00:00:00+01:00,11.7,,63.1,10.0,1613088000000,0.0,296.4,,0.0,,0.0,7.5,73.9,0.0,,Partially cloudy,8.1,,"39.2210171,-3.6185337"
257.69,13.3,16.6,18.9,13.0,2021-02-13T00:00:00+01:00,10.2,,,8.7,1613174400000,0.0,353.1,,0.0,1026.4,0.0,4.9,58.32,0.0,,Clear,,,"39.2210171,-3.6185337"
82.92,9.0,16.4,17.6,11.2,2021-02-14T00:00:00+01:00,14.2,,,2.4,1613260800000,0.0,328.0,,0.0,1029.8,0.0,4.4,75.71,0.0,,Clear,4.1,,"39.2210171,-3.6185337"
74.13,8.6,15.9,12.9,12.4,2021-02-15T00:00:00+01:00,14.1,,34.4,1.2,1613347200000,0.0,327.3,Mist,0.0,1031.5,0.0,5.4,82.02,0.0,,Partially cloudy,0.1,,"39.2210171,-3.6185337"
164.75,8.1,18.0,9.3,10.7,2021-02-16T00:00:00+01:00,13.2,,66.4,-0.2,1613433600000,0.0,305.5,"Mist, Fog",0.0,1028.6,0.0,4.0,79.02,0.0,,Partially cloudy,2.4,,"39.2210171,-3.6185337"
171.09,9.6,20.1,12.0,5.4,2021-02-17T00:00:00+01:00,14.2,,59.4,0.8,1613520000000,0.0,329.3,"Mist, Fog",0.0,1023.8,0.0,4.2,73.19,0.0,,Partially cloudy,2.3,,"39.2210171,-3.6185337"
230.22,9.8,18.3,13.9,14.5,2021-02-18T00:00:00+01:00,14.3,,32.0,0.8,1613606400000,0.0,332.2,,0.0,1020.1,0.0,2.4,64.72,0.0,,Partially cloudy,,,"39.2210171,-3.6185337"
146.14,10.1,20.0,11.9,18.4,2021-02-19T00:00:00+01:00,15.0,,25.0,0.7,1613692800000,0.0,346.8,,0.0,1022.3,0.0,1.4,62.15,0.0,,Clear,,,"39.2210171,-3.6185337"
,,,,,2021-02-20T00:00:00+01:00,,,,,1613779200000,0.0,,,,,,,,,,,,,"39.2210171,-3.6185337"
290.0,6.7,6.7,20.0,9.4,2021-02-21T00:00:00+01:00,,,,6.7,1613865600000,1.0,,Mist,0.0,1010.5,0.0,5.6,92.69,100.0,,Rain,4.8,,"39.2210171,-3.6185337"
264.5,7.3,12.2,13.8,18.3,2021-02-22T00:00:00+01:00,13.5,,34.0,3.2,1613952000000,5.4,311.9,,0.0,1020.8,0.0,2.4,73.18,5.0,,"Rain, Partially cloudy",-0.4,,"39.2210171,-3.6185337"
126.54,7.1,15.0,14.5,13.7,2021-02-23T00:00:00+01:00,14.4,,27.7,-0.7,1614038400000,0.0,334.1,,0.0,1032.0,0.0,2.5,75.42,0.0,,Partially cloudy,3.2,,"39.2210171,-3.6185337"
79.13,9.0,19.0,13.5,15.5,2021-02-24T00:00:00+01:00,14.4,,1.3,0.8,1614124800000,0.0,332.9,,0.0,1031.4,0.0,3.7,74.19,0.0,,Clear,-2.0,,"39.2210171,-3.6185337"
