Canonical,RowKey,INF_Label,INF_Value,STA_Label,Sector_Neta
TOTALIZADOR,2022-12-03 21:30:00+00:00,LS Urda,0.2980375,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 21:45:00+00:00,LS Urda,0.2943296,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 22:00:00+00:00,LS Urda,0.20172386,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 22:15:00+00:00,LS Urda,0.29475808,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 22:30:00+00:00,LS Urda,0.29253116,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 22:45:00+00:00,LS Urda,0.17466995,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 23:00:00+00:00,LS Urda,0.17466995,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 23:15:00+00:00,LS Urda,0.1878334,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 23:30:00+00:00,LS Urda,0.18298253,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-03 23:45:00+00:00,LS Urda,0.27104524,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 00:00:00+00:00,LS Urda,0.103831135,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 00:15:00+00:00,LS Urda,0.10763123,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 00:30:00+00:00,LS Urda,0.11292841,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 00:45:00+00:00,LS Urda,0.11190943,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 01:00:00+00:00,LS Urda,0.11292841,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 01:15:00+00:00,LS Urda,0.11349062,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 01:30:00+00:00,LS Urda,0.11190943,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 01:45:00+00:00,LS Urda,0.11190943,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 02:00:00+00:00,LS Urda,0.11190943,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 02:15:00+00:00,LS Urda,0.11190943,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 02:30:00+00:00,LS Urda,0.11190943,11000 Carretera Urda,22110000
TOTALIZADOR,2022-12-04 02:45:00+00:00,LS Urda,0.11190943,11000 Carretera Urda,22110000
